id,accession,locator,site,type,author,date,format,size,description,notes,issues
79,,,SalemAve,letter,"Wickham, H.",04/10/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing invitees on a private car tour ,
80,,,SalemAve,letter,"Wickham, H.",02/06/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President","Letter from the president of the Southwest Virginia Improvement Company requesting a rail pass for a Pocahontas, Virginia, pastor",
81,,,SalemAve,letter,"Wickham, H.",04/02/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company addressing miners' grievances over rent for Pocahontas Coal & Coke Company housing ,
82,,,SalemAve,letter,"Wickham, H.",02/02/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating coal shipment rates to the Tidewater region,
83,,,SalemAve,letter,"Wickham, H.",10/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing allocation of coal cars to the Pocahontas Coal & Coke Company,
84,,,SalemAve,letter,"Wickham, H.",10/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing allocation of coal cars to the Pocahontas Coal & Coke Company; follow-up message to a letter of the same date,
85,,,SalemAve,letter,"Wickham, H.",10/15/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing competitor coal shipment prices,
86,,,SalemAve,letter,"Wickham, H.",10/15/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing coal car distribution in the Flat Top region,
87,,,SalemAve,letter,"Wickham, H.",09/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company acknowledging receipt of a previous letter from Frederick Kimball ,
88,,,SalemAve,letter,"Wickham, H.",07/29/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing rates for lump coal from the Pocahontas Coal & Coke Company,
89,,,SalemAve,letter,"Wickham, H.",07/27/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company expressing apprehension over shipping lump coal at a loss,
90,,,SalemAve,letter,"Wickham, H.",07/24/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company thanking Frederick Kimball for providing a rail pass,
91,,,SalemAve,letter,"Wickham, H.",07/28/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing coal rates and car purveyance ,
92,,,SalemAve,letter,"Wickham, H.",07/24/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing contract renewal with the Pocahontas Coal & Coke Company,
