id,accession,locator,site,type,author,date,format,size,description,notes,issues
171,,,SalemAve,letter,"Wilson, John",02/20/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad arranging a meeting with Frederick Kimball,
172,,,SalemAve,telegram,"Harriott, Frank",02/10/1885,paper,8x6,Telegram from Frank Harriott to John Wilson,Message from Frank Harriott to John Wilson discussing competiton with the C&O and N&W; forwarded to Frederick Kimball,
173,,,SalemAve,letter,"Wilson, John",02/09/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad rejecting false statements relating to coal market manipulation published in a newspaper ,
174,,,SalemAve,letter,"Wilson, John",02/05/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad requesting that Frederick Kimball investigate possible manipulation of the coal market,
175,,,SalemAve,letter,"Wilson, John",02/02/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad providing information about coal rates,
176,,,SalemAve,letter,"Wilson, John",01/31/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President","Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad acknowledging receipt of an inquiry from Frederick Kimball about coal prices in the Pocahontas, Virginia",
177,,,SalemAve,letter,"Wilson, John",01/29/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad requesting that Frederick Kimball investigate possible manipulation of the coal market,
178,,,SalemAve,letter,"Wilson, John",01/23/1885,paper,8x10,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad providing information about coal rates,
179,,,SalemAve,letter,"Williams, R. A. ",01/27/1885,paper,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President",Letter from Philadelphia lumber merchants to thanking Frederick Kimball for recommending that the author's wife visit Luray and Natural Bridge in Virginia,
180,,,SalemAve,letter,"Kimball, Frederick",10/09/1885,paper,8-1/2x11-1/2,"Letter from Frederick Kimball, N&W President, to John Wilson",Letter from Frederick Kimball to the General Freight Traffic Agent of the Pennsylvania Railroad discussing the potential of the Clyde Steamship Company to seek the business of the N&W,
181,,,SalemAve,letter,"Wistar, Dillwyn",07/19/1888,paper,8-1/4x10-3/4,"Letter from Dillwyn Wistar to Frederick J. Kimball, N&W President",Letter from a Philadelphia real estate investor furnishing information about the status of plot of land,
182,,,SalemAve,letter,"Wise, John S.",08/15/1888,paper,5-3/4x9,"Letter from John S. Wise to Frederick J. Kimball, N&W President","Letter from an East Tennessee & Western North Carolina Railroad executive requesting a rail pass for his daughter and wife between Bristol, Roanoke, and Norfolk",
183,,,SalemAve,letter,"Witherow, James P.",07/25/1888,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of a shipment to Ivanhoe, Virginia",
184,,,SalemAve,telegram,"Witherow, James P.",11/25/1887,paper,5-1/4x8,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of a shipment to Ivanhoe, Virginia",
185,,,SalemAve,letter,"Witherow, James P.",11/08/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing progress of furnaces at Ivanhoe and Pulaski, Virginia",
186,,,SalemAve,letter,"Witherow, James P.",02/26/1887,paper,5-1/4x8,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, extending thanks to Frederick Kimball",
187,,,SalemAve,letter,"Witherow, James P.",09/24/1887,paper,5-1/4x8,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, inquiring about shiping rates for furnance materials",
188,,,SalemAve,letter,"Witherow, James P.",09/21/1887,paper,5-1/4x8,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing matters at Keystone Junction",
189,,,SalemAve,letter,"Wister, John",02/26/1887,paper,5-3/4x9-1/4,"Letter from John Wister to Frederick J. Kimball, N&W President ",Letter from the president of the Duncannon Iron Company expressing appreciation for information regarding Cripple Creek ovens,
190,,,SalemAve,letter,"Witherow, James P.",n.d.,paper,5-1/4x8,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of an incoming letter containing measurements for a furnace",
191,,,SalemAve,letter,"Winch, Louis H.",04/05/1887,paper,5-1/2x9,"Letter from Louis H. Winch to Frederick J. Kimball, N&W President","Letter requesting a copy of McCreath's ""Mineral Wealth of Virginia""",
192,,,SalemAve,letter,"Wister, Rodman R. ",03/30/1887,paper,5-1/2x8,"Letter from Rodman R. Wister to Frederick J. Kimball, N&W President",Letter from an iron merchant agreeing to Frederick Kimball's offer of twenty cars per day for shipping product,
193,,,SalemAve,letter,"Witherow, James P.",03/30/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing progress of furnaces at Pulaski, Virginia",
194,,,SalemAve,letter,"Wister, Jones",03/29/1887,paper,5-3/4x9,"Letter from Jones Wister to Frederick J. Kimball, N&W president",Letter from an iron merchant discussing car allotment and siding ,
195,,,SalemAve,telegram,"Witherow, James P.",03/17/1887,paper,5-1/2x8-1/2,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, foundation work for a furnace",
196,,,SalemAve,telegram,"Wise, John S.",03/02/1887,paper,5-3/4x9,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting a rail pass between Bristol and Roanoke,
197,,,SalemAve,letter,"Witherow, James P.",02/23/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an iron manufacturer discussing the surveying of a new furnace at Pulaski, Virginia",
198,,,SalemAve,letter,"Wister, Langhorne",02/23/1887,paper,5-1/2x8,"Letter from Langhorne Wister to Frederick J. Kimball, N&W President",Letter from an iron merchant thanking Frederick Kimball for efforts with Mayor Bent,
199,,,SalemAve,letter,"Witherow, James P.",02/19/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing location of a furnace in Pulaski, Virginia",
200,,,SalemAve,letter,"Witherow, James P.",02/11/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing location of a furnace in Pulaski, Virginia; drawings mentioned but not attached",
201,,,SalemAve,letter,"Witherow, James P.",02/07/1887,paper,8x10-1/2,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnance and mill machinery company in New Castle, Pennsylvania, discussing contract matters for a new furnance and siding in Pulaski, Virignia",
202,,,SalemAve,telegram,"Witherow, James P.",n.d.,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball that a contract for a new furnace in Pulaski, Virginia,  has been approved and materials ordered  ",
203,,,SalemAve,telegram,"Witherow, James P.",02/07/1887,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President",Message notifying Frederick Kimball of James Witherow's absence and inability to arrange a meeting  ,
204,,,SalemAve,telegram,"Witherow, James P.",02/03/1887,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message notifying Frederick Kimball on the travels of James Witherow, delaying action on the planning for a new furnace in Pulaski, Virginia ",
205,,,SalemAve,letter,"Witherow, James P.",02/03/1887,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of the author's absence and the consequences for the planning of a new furnace in Pulaski, Virginia ",
206,,,SalemAve,letter,"Witherow, James P.",01/27/1887,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing hardware shortages and the need to finalize plans for a new furnace in Pulaski, Virginia",
207,,,SalemAve,telegram,"Witherow, James P.",01/24/1887,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing contract matters for a new furnace in Pulaski, Virginia",
208,,,SalemAve,telegram,"Witherow, James P.",01/27/1887,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, stressing urgency of ordering materials for a new furnace in Pulaski, Virginia",
209,,,SalemAve,telegram,"Witherow, James P.",12/11/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, requesting a meeting to discuss planning of a new furnace in Pulaski, Virginia",
210,,,SalemAve,telegram,"Witherow, James P.",n.d.,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, requesting a meeting to discuss planning of a new furnace in Pulaski, Virginia",
211,,,SalemAve,telegram,"Witherow, James P.",1/16/1887,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, requesting a meeting to discuss planning of a new furnace in Pulaski, Virginia",
212,,,SalemAve,telegram,"Witherow, James P.",12/05/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing contract matters for a new furnace in Pulaski, Virginia",
213,,,SalemAve,telegram,"Witherow, James P.",12/27/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, confirming meeting date to discuss a new furnace at Pulaski, Virginia",
214,,,SalemAve,telegram,"Witherow, James P.",12/23/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of the author's availability",
215,,,SalemAve,telegram,"Witherow, James P.",12/10/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, confirming meeting date to discuss a new furnace at Pulaski, Virginia",
216,,,SalemAve,telegram,"Witherow, James P.",12/07/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of the author's intent to attend a meeting to discuss a new furnace in Pulaski, Virginia",
217,,,SalemAve,telegram,"Witherow, James P.",12/03/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing the location of a new furnace in Pulaski, Virginia",
218,,,SalemAve,telegram,"Witherow, James P.",11/15/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, thanking Frederick Kimball and confirming a follow-up meeting to discuss a new furnace in Pulaski, Virginia",
219,,,SalemAve,telegram,"Witherow, James P.",11/14/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, confirming meeting attendance to discuss a new furnace at Pulaski, Virginia",
220,,,SalemAve,letter,"Witherow, James P.",11/10/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of the author's travel schedule as it relates to a meeting to discuss a new furnace at Pulaski, Virginia",
221,,,SalemAve,letter,"Wise, John S.",10/06/1886,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina Railroad executive requesting a rail pass for the president of the company and his wife between Roanoke and Bristol,
222,,,SalemAve,letter,"Witherow, James P.",07/19/1886,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing the broader steel manufacturing and coke production market as it relates to Frederick Kimball's plans in the Cripple Creek region of Virginia",
223,,,SalemAve,letter,"Witherow, James P.",07/10/1886,paper,,Letter from James P. Witherow to John W. Robinson,"Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, to a colleague expressing apprehension towards building a coke furnace operation for the N&W Railroad; forwarded to Frederick Kimball",
224,,,SalemAve,letter,"Wise, John S.",06/08/1886,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President","Letter from an employee of the Cranbery Iron and Coal Company seeking to arrange a meeting between Ario Pardee, Jr., and Frederick Kimball",
225,,,SalemAve,letter,"Witherow, James P.",06/07/1886,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing the manufacturing market and arranging a meeting with Frederick Kimball",
226,,,SalemAve,letter,"Wise, John S.",05/29/1886,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting a rail pass for his school-aged sons to visit Southwest Virginia,
227,,,SalemAve,telegram,"Witherow, James P.",n.d.,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of when he can expect to receive plans and cost estimates ",
228,,,SalemAve,telegram,"Witherow, James P.",05/28/1886,paper,,"Telegram from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of when he can expect to receive plans and cost estimates ",
229,,,SalemAve,letter,"Wise, John S.",05/11/1886,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting rail passes for company board members,
230,,,SalemAve,letter,"Witherow, James P.",05/01/1886,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, discussing hardware availability for a meeting",
231,,,SalemAve,letter,"Witherow, James P.",04/23/1886,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of the author's meeting availability",
232,,,SalemAve,letter,"Wise, John S.",04/10/1886,paper,,"Letter from John S. Wise to Frederick Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive bringing a dispute over rail passes to Frederick Kimball's attention; letter from a separate author enclosed,
233,,,SalemAve,letter,"Witherow, James P.",02/04/1886,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, requesting that Frederick Kimball mail drawings left behind at a meeting",
234,,,SalemAve,telegram,"Witherow, James P.",n.d.,paper,,"Letter from James P. Witherow to Frederick J. Kimball, N&W President","Message from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball to expect a meeting ",
235,,,SalemAve,letter,"Wise, John S.",10/17/1885,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting rail passes for company board members between Lynchburg and Bristol,
236,,,SalemAve,letter,"Wise, John S.",08/21/1885,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting a rail pass between Norfolk and Bristol for an employee ,
237,,,SalemAve,letter,"Witherow, James P.",05/12/1885,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President","Letter from an engineer of a furnace and mill machinery company in New Castle, Pennsylvania, notifying Frederick Kimball of advancements in steel production",
238,,,SalemAve,letter,"Wise, John S.",05/11/1885,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive requesting rail passes between Roanoke and Bristol for company board members,
239,,,SalemAve,letter,"Withers, S. P. ",02/21/1885,paper,,"Letter from S. P. Withers to Frederick J. Kimball, N&W President","Letter from an Abingdon, Virginia, resident requesting a rail pass between Roanoke and Philadelphia for his ill wife to see a reputable doctor",
240,,,SalemAve,letter,"Wise, John S.",02/13/1885,paper,,"Letter from John S. Wise to Frederick J. Kimball, N&W President",Letter from an East Tennessee & Western North Carolina executive discussing pig iron production,
241,,,SalemAve,letter,"Wood, H. G. ",12/10/1888,paper,,"Letter from H. G. Wood to Frederick J. Kimball, N&W President","Letter from an associate of the Colby, Abbot & Hoyt financial firm offering his services to Frederick Kimball",
242,,,SalemAve,letter,"Wood, Richard D. ",05/19/1888,paper,,"Letter from Richard D. Wood to Frederick J. Kimball, N&W President",Letter from an iron manufacturer acknowledging receipt of documents sent by Frederick Kimball ,
243,,,SalemAve,letter,"Wood, H. G. ",01/04/1888,paper,,"Letter from H. G. Wood to Frederick J. Kimball, N&W President",Letter seeking employment in the N&W Railroad corporate office,
244,,,SalemAve,letter,"Wood, H. G. ",11/29/1887,paper,,"Letter from H. G. Wood to Frederick J. Kimball, N&W President",Letter requesting rail passes between Bristol and Petersburg for delegates from Scott and Lee Counties between,
245,,,SalemAve,letter,"Wood, A. W. ",09/05/1887,paper,,"Letter from A. W. Wood to Frederick J. Kimball, N&W President","Letter requesting requesting a rail pass to Norfolk, Virginia, for the president of the Warren & Farnsworth Railroad Company",
246,,,SalemAve,letter,"Wood, J. R. ",08/09/1887,paper,,"Letter from J. R. Wood to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Pennsylvania Railroad approving the transportation of Frederick Kimball's personal horses and carriages between Philadelphia, Pennsylvania, and Crawford's Purchase, New Hampshire",
247,,,SalemAve,letter,"Wood, J. R. ",09/10/1887,paper,,"Letter from J. R. Wood to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Pennsylvania Railroad confirming the transportation of Frederick Kimball's personal horses and carriages between Philadelphia, Pennsylvania, and Crawford's Purchase, New Hampshire",
248,,,SalemAve,letter,"Wood, J. R. ",09/07/1887,paper,,"Letter from J. R. Wood to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Pennsylvania Railroad approving the transportation of Frederick Kimball's personal horses and carriages between Crawford's Purchase, New Hampshire and Philadelphia, Pennsylvania; telegram detailing logistics attached",
249,,,SalemAve,letter,"Wood, J. R. ",08/06/1887,paper,,"Letter from J. R. Wood to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Pennsylvania Railroad detailing the logistics of the transportation of Frederick Kimball's horses and carriages between Crawford's Purchase, New Hampshire, and Philadelphia, Pennsylvania",
250,,,SalemAve,letter,"Wood, J. R. ",08/01/1887,paper,,"Letter from J. R. Wood to Frederick J. Kimball, N&W President",Letter from the General Passenger Agent of the Pennsylvania Railroad confirming ability to transport Frederick Kimball's horses and carriages and inquiring about dates,
251,,,SalemAve,letter,"Wood, S",05/29/1887,paper,,"Letter from S. Wood to Frederick J. Kimball, N&W President","Letter discussing property an iron ore mine at Peak Knob, Pulaski County, Virginia",
252,,,SalemAve,letter,"Wood, Richard D. ",05/20/1887,paper,,"Letter from Richard D. Wood to Frederick J. Kimball, N&W President","Letter from an iron manufacturer discussing a mineral study of a potential iron ore mine at Peak Knob, Pulaski County, Virginia",
253,,,SalemAve,letter,"Wood, Richard D. ",04/10/1887,paper,,"Letter from Richard D. Wood to Frederick J. Kimball, N&W President",Letter from an iron manufacturer ,Revisit notes
254,,,SalemAve,letter,"Wood, H. G. ",09/08/1886,paper,,"Letter from H. G. Wood to Frederick J. Kimball, N&W President",Letter seeking employment in the N&W Railroad corporate office,
255,,,SalemAve,letter,M. B. Woods,01/09/1885,paper,,"Letter from M. B. Woods to Frederick J. Kimball, N&W President",Letter from a marble mine operator seeking to do business with the N&W Railroad ,
256,,,SalemAve,letter,H. R. Worman ,09/06/1887,paper,,"Letter from H. R. Worman to Frederick J. Kimball, N&W President","Letter from a Carroll County, Virginia, property owner inquring about the future of a rail line between Foster Falls, Virginia, to Mt. Airy, North Carolina",
257,,,SalemAve,letter,"Haines, William H.",06/15/1885,paper,,Letter from William H. Haines to Richard Wood,"Letter returning unused rail passes from Pocahontas, Virginia, to Hagerstown, Maryland; forwarded to Frederick Kimball",
258,,,SalemAve,letter,"Haines, William H.",05/29/1885,paper,,Letter from William H. Haines to Richard Wood,"Letter requesting a rail pass between Pocahontas, Virginia, to Hagerstown, Maryland, for Rebecca J. Lee ",
259,,,SalemAve,letter,Woodbury & Moulton,04/27/1885,paper,,"Letter from Woodbury & Moulton Investment Bankers to Frederick J. Kimball, N&W President","Letter from an Portland, Maine, investment firm expressing satisfaction for March 1885 N&W financial data",
260,,,SalemAve,letter,Woodbury & Moulton,04/24/1885,paper,,"Letter from Woodbury & Moulton Investment Bankers to Frederick J. Kimball, N&W President","Letter from an Portland, Maine, investment firm requesting recent N&W financial data  ",
261,,,SalemAve,letter,"Wootten, J.",01/26/1885,paper,,"Letter from J. Wootten to Frederick J. Kimball, N&W President","Letter from the General Manager of the Philadelphia & Reading Railroad providing a rail pass between Philadelphia and Bethlehem, Pennsylvania, for N&W employee Charles Blackwell ",
262,,,SalemAve,letter,"Wrenn, Beverly W.",n.d.,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line requesting a meeting with Frederick Kimball about passenger service",check name
263,,,SalemAve,telegram,"Wrenn, Beverly W.",n.d.,paper,,"Telegram from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Message from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line requesting return wire confirming a meeting date",
264,,,SalemAve,letter,"Wrenn, Beverly W.",11/07/1888,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line notifying Frederick Kimball of the author's intent to meet with Kimball in Philadelphia",
265,,,SalemAve,letter,"Wrenn, Beverly W.",10/27/1888,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line discussing cooperation with competiting rail companies   ",
266,,,SalemAve,letter,"Wright, Peter",06/08/1888,paper,,"Letter from Peter Wright to Frederick J. Kimball, N&W President","Letter from the general agent of the Red Line, Philadelphia, Pennsylvania, notifying Frederick Kimball of the arrival of the SS Waesland",
267,,,SalemAve,telegram,"Wright, Peter",04/08/1888,paper,,"Message from Peter Wright to Frederick J. Kimball, N&W President","Message from the general agent of the Red Line, Philadelphia, Pennsylvania, notifying Frederick Kimball of the arrival of the SS Waesland",
268,,,SalemAve,letter,"Wren, William H.",05/17/1888,paper,,"Letter from William H. Wren to Frederick J. Kimball, N&W President",Letter from a machinery manufacturer discussing construction of a belt line,
269,,,SalemAve,letter,"Wright, Harry P.",05/16/1888,paper,,"Letter from Harry P. Wright to Frederick J. Kimball, N&W President",Letter discussing surveying for new rail line,
270,,,SalemAve,letter,"Wren, William H.",05/09/1888,paper,,"Letter from William H. Wren to Frederick J. Kimball, N&W President","Letter from a machinery manufacturer in Lynchburg, Virginia, discussing business strategies and board matters",
271,,,SalemAve,letter,"Wright, Henrietta P.",n.d.,paper,,"Letter from Henrietta P. Wright to Frederick J. Kimball, N&W President",Letter from a mother inquiring about a job opportunity for her seventeen-year-old son,
272,,,SalemAve,letter,"Wren, William H.",05/05/1888,paper,,"Letter from William H. Wren to Frederick J. Kimball, N&W President",Letter from a Lynchburg machinery manufacturer discussing negative press in a Virginia publication,
273,,,SalemAve,letter,"Wrenn, Beverly W.",11/12/1887,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad requesting to be added to the mailing list for N&W earnings statements,
274,,,SalemAve,letter,"Wright, Theodore",06/10/1887,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter discussing the provisioning of ties and timber for the Clinch Valley line,
275,,,SalemAve,letter,"Wright, Theodore",04/11/1887,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter discussing tunnel construction between the Winifrede Railroad and Coal River in West Virginia,
276,,,SalemAve,letter,"Wright, Theodore",04/04/1887,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter notifying Frederick Kimball that the author has not yet been elected as the director of the West Virginia and Ohio Railroad ,
277,,,SalemAve,letter,"Wright, Theodore",03/03/1887,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President","Letter discussing the routing of the N&W between Pocahontas, Virginia, and the Ohio River",
278,,,SalemAve,letter,"Wrenn, Beverly W.",02/06/1887,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line arranging a for a party to visit the South",
279,,,SalemAve,letter,"Wrenn, Beverly W.",02/02/1887,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President",Letter from the General Passenger and Ticket Agent of the N&W discussing personnel matters,
280,,,SalemAve,letter,"Wrenn, Beverly W.",01/23/1887,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line notifying Frederick Kimball of market interest in Alabama coal and iron deposits",
281,,,SalemAve,letter,"Wright, Theodore",08/31/1886,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter discussing land acquisition at Winifrede Junction in West Virginia,
282,,,SalemAve,letter,"Wrenn, Beverly W.",07/24/1886,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Virginia, Tennessee & Georgia Air Line discussing the Baltimore & Ohio Railroad, land acquisition, and the travel plans of a theatre troupe over the N&W line; copy of letter from Pennsylvania Railroad General Passenger Agent J. R. Wood attached ",
283,,,SalemAve,letter,"Wrenn, Beverly W.",07/12/1886,paper,,"Letter from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Letter from the General Passenger Agent of the Virginia, Tennessee & Georgia Air Line discussing cooperation with the Baltimore & Ohio Railroad; letters from B&O General Ticket Agent L. M. Cole and Shenandoah Valley Railroad conductor Frank P. Cord attached",
284,,,SalemAve,letter,"Hopkins, B. H. ",07/08/1886,paper,,"Letter from B. H. Hopkins to Frederick J. Kimball, N&W President","Letter from the Florida Passenger of the East Tennessee, Virginia & Georgia Railroad discussing contractors working between Macon, Georgia, and Jacksonville, Florida ",
285,,,SalemAve,telegram,"Wrenn, Beverly W.",n.d.,paper,,"Telegram from Beverly W. Wrenn to Frederick J. Kimball, N&W President","Message from the General Passenger and Ticket Agent of the Virginia, Tennessee & Georgia Air Line informing Frederick Kimball of a conversation with a Pennsylvania Railroad official",
286,,,SalemAve,letter,"Wright, Theodore",06/23/1886,paper,,"Letter from Theodore Wright to Frederick J. Kimball, N&W President",Letter discussing land acquisition at Winifrede Junction in West Virginia,
